| Testphase                                  | Testaktivität                                             | Erläuterung der Testaktivität                                                                                                                                                    |
| Testdurchführung                           | Erfassung von Fehlern inkl. Erstellung von Defektmeldungen| Detaillierte Dokumentation auftretender Fehler im Defect-Tracking-System inklusive Reproduktionsschritten, erwarteten und tatsächlichen Ergebnissen sowie Priorisierung der Fehler. |
| Testdurchführung                           | Optimierung von Bugs-Reports                              | Optimierung der Fehlerberichte, um die Nachvollziehbarkeit und Behebung zu erleichtern.                                                                                            |
| Testdurchführung                           | Verwaltung und Nachverfolgung der Defects                 | Überwachung der gemeldeten Fehler, Statusupdates und enge Zusammenarbeit mit Entwicklern, bis der Fehler behoben ist.                                                              |
| Testdurchführung                           | Kommunikation mit dem Entwicklungsteam                    | Enge Abstimmung und Informationsaustausch mit den Entwicklern zur schnellen Identifikation und Behebung von Fehlern.                                                               |
| Testdurchführung                           | Re-Tests (Nachtests) behobener Fehler                     | Erneute Ausführung der betroffenen Testfälle, um zu verifizieren, dass nach Fehlerbehebungen die Funktion wieder korrekt arbeitet.                                                  |
| Testdurchführung                           | Durchführung von Regressionstests                         | Wiederholung bereits getesteter Szenarien, um sicherzustellen, dass neue Änderungen keine bestehenden Funktionen beeinträchtigen.                                                  |
| Testdurchführung                           | Überwachung des Testfortschritts und Reporting            | Kontinuierliches Tracking des Teststatus, der Fehlerzahlen und der Testabdeckung sowie regelmäßige Berichterstattung an Stakeholder.                                               |
| Testdurchführung                           | Durchführung von Last- und Stresstests                    | Ausführung von Tests unter hoher Belastung, um die Performancegrenzen und Systemstabilität zu prüfen.                                                                              |
| Testdurchführung                           | Durchführung von Sicherheitstests                         | Ausführen spezifischer Sicherheitstests wie Penetrationstests und Fuzzing, um potenzielle Sicherheitslücken aufzudecken.                                                           |
| Testdurchführung                           | Durchführung weiterer spezifischer Testarten              | Testen von speziellen Aspekten wie Usability, Kompatibilität, Installation und Upgrade, je nach den Projektanforderungen.                                                          |
| Testdurchführung                           | Exploratives Testen                                       | Ad-hoc und unstrukturierte Tests, bei denen der Tester frei agiert, um unerwartete Fehler oder Abweichungen zu entdecken.                                                          |
| Testabschluss & Berichterstattung          | Konsolidierung und Zusammenfassung der Testergebnisse     | Zusammenführen aller Testergebnisse aus den unterschiedlichen Testaktivitäten zur Gesamtbewertung.                                                                                 |
| Testabschluss & Berichterstattung          | Überprüfung der Erreichung der Testziele und Abdeckung der Anforderungen | Abgleich der durchgeführten Tests mit den ursprünglichen Testzielen und Sicherstellung, dass alle Anforderungen abgedeckt sind.                                                     |
| Testabschluss & Berichterstattung          | Bewertung verbliebener Risiken                            | Einschätzung, welche noch bestehenden Fehler oder ungetesteten Bereiche ein Restrisiko für den Betrieb darstellen.                                                                  |
| Testabschluss & Berichterstattung          | Erstellung des Testabschlussberichts                      | Detaillierte Dokumentation des gesamten Testprozesses, der Ergebnisse sowie offener Punkte in einem abschließenden Bericht.                                                         |
| Testabschluss & Berichterstattung          | Präsentation der Testergebnisse an Stakeholder            | Vorstellung und Diskussion der Testergebnisse in Meetings oder durch schriftliche Berichte, um Transparenz für alle Beteiligten zu gewährleisten.                                  |
| Testabschluss & Berichterstattung          | Durchführung von Lessons Learned-Sitzungen                | Gemeinsame Reflexion des Testprozesses im Team, um Verbesserungspotenziale und Erfahrungen für zukünftige Projekte zu sammeln.                                                     |
| Testabschluss & Berichterstattung          | Dokumentation der Lessons Learned                         | Schriftliche Festhaltung von Erkenntnissen und Verbesserungsvorschlägen, die als Basis für die Optimierung zukünftiger Testprojekte dienen.                                         |
| Testabschluss & Berichterstattung          | Archivierung aller Testartefakte                          | Sicherstellung, dass alle relevanten Dokumente (Testfälle, Testergebnisse, Defect-Tickets etc.) für spätere Referenz oder Audits zugänglich bleiben.                                |
| Testabschluss & Berichterstattung          | Abschluss des Fehlermanagements                           | Überprüfung, dass alle gemeldeten Defekte final bearbeitet, dokumentiert und – sofern nicht behoben – als bekannte Probleme markiert sind.                                          |
| Testabschluss & Berichterstattung          | Aufräumen der Testumgebung                                | Bereinigung oder Rückbau der Testsysteme (z. B. Löschen von Testdaten, Schließen temporärer Umgebungen), um einen sauberen Zustand nach Abschluss der Tests zu gewährleisten.       |
| Testabschluss & Berichterstattung          | Übergang in den Betrieb bzw. Release-Freigabe              | Unterstützung des Go-Live-Prozesses durch Bereitstellung aller relevanten Testergebnisse und Übergabe der Informationen an das Betriebsteam.                                       |
| KI-spezifische Testaktivitäten             | Validierung der Trainingsdaten                            | Überprüfen, ob die Trainingsdaten vollständig, repräsentativ und von hoher Qualität sind, da sie die Basis für das Modell bilden.                                                   |
| KI-spezifische Testaktivitäten             | Datenaufbereitung und -bereinigung                        | Sicherstellen, dass die Trainingsdaten konsistent, fehlerfrei und optimal aufbereitet wurden, um Verzerrungen und Fehler im Modelltraining zu vermeiden.                            |
| KI-spezifische Testaktivitäten             | Bias- und Fairness-Tests                                  | Durchführung spezifischer Tests, um systematische Verzerrungen im Modell zu identifizieren und zu minimieren, sodass das Modell fair und unvoreingenommen ist.                      |
| KI-spezifische Testaktivitäten             | Robustheitstests und Adversarial Tests                    | Testen, wie das Modell auf veränderte, verrauschte oder gezielt manipulierte Eingabedaten reagiert, um die Stabilität und Sicherheit des Modells zu gewährleisten.                  |
| KI-spezifische Testaktivitäten             | Tests zur Interpretierbarkeit und Erklärbarkeit           | Überprüfen, ob die Entscheidungsgrundlagen des Modells nachvollziehbar und erklärbar sind, häufig unter Einsatz von Explainable AI (XAI)-Techniken.                                |
| KI-spezifische Testaktivitäten             | Kontinuierliches Monitoring der Modellperformance         | Laufende Überwachung der Modellleistung und Erkennung von Datenverschiebungen (Out-of-Distribution), um frühzeitig Leistungsabfälle und potenzielle Fehlerquellen zu identifizieren.|
| KI-spezifische Testaktivitäten             | Überprüfung der Trainingsdatengenerierung                 | Validierung, dass der Prozess zur Generierung bzw. Annotation der Trainingsdaten konsistent und qualitativ hochwertig durchgeführt wird.                                            |
